CUSTOMERNAME,SALES,QUANTITYORDERED,Contact Name,PHONE,Address1,COUNTRY
Grace,1117,36,Frank Patel,726-263-7204,Street S,UK
Alice,1951,38,Eva Patel,663-489-1719,Street P,France
Ivy,4547,48,Bob Lee,886-274-6491,Street G,UK
Ivy,4300,12,Jack Brown,679-992-3459,Street V,UK
David,4177,41,Frank Lee,266-989-3369,Street X,France
Frank,3147,44,Bob Smith,283-887-1840,Street O,Canada
Grace,3089,28,Ivy Smith,529-415-6071,Street I,UK
Bob,1736,36,Alice Johnson,847-887-8311,Street U,France
Frank,4102,32,Charlie Smith,395-741-3960,Street R,India
Jack,1059,4,David Brown,220-234-4323,Street Z,UK
Frank,4341,23,Ivy Brown,103-737-5146,Street T,USA
Bob,4122,42,Alice Brown,112-569-9153,Street Y,Australia
Eva,2980,43,Grace Patel,975-610-9904,Street N,UK
Ivy,2750,25,Bob Patel,926-105-9084,Street S,USA
Eva,960,34,Helen Brown,343-322-8794,Street X,USA
Grace,3383,21,Eva Smith,564-519-8239,Street U,France
Frank,4656,45,Eva Smith,181-715-1107,Street B,India
Grace,1107,27,Frank Johnson,350-660-5556,Street Q,Canada
Eva,3042,27,Bob Lee,734-743-4401,Street G,Australia
Ivy,4282,10,Ivy Johnson,150-289-3429,Street L,UK
Charlie,4202,20,Helen Lee,156-768-6718,Street O,India
David,808,25,Alice Smith,137-248-1531,Street E,Australia
Grace,966,12,Frank Brown,783-691-5889,Street H,France
Grace,3520,49,David Patel,439-189-1803,Street E,India
Charlie,2851,35,Eva Johnson,211-526-3920,Street X,Canada
Jack,1128,31,Jack Johnson,265-788-5659,Street V,USA
Jack,1239,16,Eva Smith,725-776-3906,Street Y,Germany
Eva,4653,15,Jack Lee,566-867-6901,Street J,Germany
Grace,3649,20,David Johnson,136-195-5903,Street N,Germany
Ivy,4290,46,Helen Lee,430-477-7208,Street N,Japan
Alice,836,10,Frank Johnson,939-169-8001,Street K,India
Eva,4184,30,Jack Brown,963-663-2063,Street C,Canada
Eva,2042,4,Helen Smith,399-582-3204,Street U,France
David,3133,36,David Lee,224-811-5496,Street G,USA
Grace,4396,27,Ivy Smith,437-639-7779,Street N,Australia
Jack,4607,27,David Patel,637-314-4425,Street I,Japan
Jack,1735,36,Charlie Smith,726-159-2790,Street J,India
Frank,1006,34,Alice Lee,685-847-9666,Street U,Canada
Helen,4190,9,Grace Lee,189-595-5705,Street F,Japan
Helen,1347,25,Alice Patel,537-723-6185,Street I,USA
Helen,3313,16,David Patel,365-638-6797,Street V,India
David,1190,17,Ivy Johnson,232-729-9132,Street T,Germany
Ivy,4633,14,Frank Lee,632-846-9154,Street H,USA
Helen,1913,22,Alice Smith,604-927-3947,Street M,France
Charlie,820,42,Frank Patel,724-338-5759,Street H,Canada
Bob,2529,6,Alice Smith,298-101-2936,Street D,Germany
Eva,4086,29,Grace Patel,124-576-2932,Street E,UK
Ivy,4099,24,Eva Lee,855-968-4396,Street G,France
Jack,4793,6,Bob Patel,918-730-7793,Street A,India
Frank,4782,35,David Lee,523-146-6468,Street H,Japan
Bob,1800,47,Ivy Patel,458-673-4478,Street Z,Canada
David,3481,13,David Johnson,111-755-4296,Street J,Germany
Eva,3554,4,Grace Patel,806-388-5168,Street O,UK
David,2817,18,Helen Johnson,909-169-6042,Street P,Australia
David,3673,25,Alice Johnson,407-618-6307,Street R,UK
Charlie,3848,44,Charlie Smith,885-106-2865,Street N,Germany
Alice,3271,39,Eva Lee,802-441-6592,Street N,India
Alice,928,39,Bob Patel,505-841-1477,Street U,Japan
David,3241,3,Alice Patel,952-279-4178,Street B,USA
Helen,1039,5,David Brown,438-953-6536,Street G,USA
Jack,3200,13,Ivy Patel,788-590-8774,Street F,Japan
Bob,1274,49,Grace Lee,916-136-3224,Street I,France
Helen,3666,38,Frank Lee,593-259-8546,Street E,UK
Grace,2827,47,Helen Patel,985-649-6490,Street A,USA
Jack,2564,43,Bob Johnson,573-902-7782,Street I,USA
David,1731,36,Jack Brown,860-157-9537,Street Z,Japan
Grace,3230,14,Bob Lee,406-678-6169,Street Z,France
Helen,1167,31,Ivy Brown,668-648-1306,Street I,France
Grace,1658,14,Charlie Brown,313-691-6434,Street V,India
David,3365,22,Grace Lee,918-914-6793,Street R,Australia
Charlie,3041,20,Bob Johnson,167-252-5595,Street F,Germany
Alice,3710,1,Jack Johnson,960-131-6556,Street U,France
Bob,1556,14,Jack Lee,484-741-9753,Street B,USA
Grace,1194,13,Alice Patel,962-269-7382,Street X,UK
David,3036,48,Grace Patel,291-709-2914,Street P,Canada
Charlie,3585,8,Charlie Brown,985-901-6050,Street Z,France
Ivy,3190,48,David Patel,822-978-6152,Street A,Canada
Helen,1546,49,Eva Brown,826-132-5448,Street B,India
Alice,4812,31,Eva Patel,523-188-9143,Street C,Canada
Ivy,1265,16,Frank Johnson,998-343-7088,Street K,UK
David,3968,45,Grace Johnson,562-949-5958,Street T,France
Bob,4665,39,Frank Johnson,321-637-5953,Street J,India
Helen,3464,46,Frank Patel,279-214-7131,Street C,Germany
Charlie,649,14,Helen Brown,903-138-4311,Street N,Australia
Helen,3470,26,Eva Brown,194-554-9290,Street L,Australia
Ivy,3030,16,David Johnson,125-918-8907,Street V,France
Ivy,1976,36,Bob Johnson,612-257-4116,Street V,Japan
Jack,2254,21,David Patel,448-595-9579,Street C,France
Frank,3299,50,Charlie Patel,417-894-6363,Street M,Germany
Helen,4483,19,Jack Brown,246-887-2609,Street X,Australia
Jack,2072,25,Bob Smith,941-628-3174,Street E,Australia
Ivy,2355,30,Charlie Brown,310-841-1598,Street H,Germany
Grace,1626,35,Bob Patel,570-496-9558,Street D,Japan
Ivy,1769,42,Charlie Lee,218-104-6095,Street S,Australia
Helen,1132,23,Helen Patel,145-803-2426,Street X,USA
Charlie,2923,20,Helen Patel,441-578-1755,Street Q,UK
Helen,1328,17,Frank Lee,205-633-6119,Street D,USA
Helen,4658,24,Grace Patel,123-691-6114,Street Q,Japan
Eva,4921,33,Bob Brown,754-314-6257,Street V,USA
David,4813,32,Ivy Lee,305-297-5695,Street S,USA
Eva,809,30,Frank Smith,383-645-6228,Street Y,UK
Ivy,3258,7,David Patel,891-551-2927,Street Q,India
Helen,1573,47,Helen Smith,379-252-3580,Street I,Japan
David,3586,31,Eva Smith,380-217-1249,Street P,India
Eva,1763,49,Helen Lee,737-673-9422,Street C,Canada
Helen,1829,21,Eva Johnson,204-311-9888,Street H,Canada
Bob,1981,14,Bob Smith,458-662-6218,Street T,USA
Eva,1856,24,Bob Smith,377-244-5641,Street D,Japan
David,4085,21,Charlie Johnson,687-350-3806,Street Y,Canada
Eva,857,27,Eva Brown,172-418-6549,Street Z,Australia
Frank,3865,3,Jack Johnson,653-554-1831,Street K,India
Frank,3484,37,Alice Brown,233-129-8712,Street K,Australia
Ivy,2445,15,David Brown,791-151-2735,Street S,India
Bob,4138,48,Frank Johnson,492-155-2410,Street X,UK
Charlie,2834,10,Charlie Smith,536-501-3932,Street M,USA
Charlie,4177,2,Bob Brown,821-710-8304,Street Z,Canada
David,2416,17,David Johnson,731-464-6119,Street X,Japan
Grace,4874,36,Frank Patel,440-937-4246,Street X,Australia
Charlie,2459,38,Grace Smith,830-876-9740,Street H,Germany
David,3035,38,Ivy Brown,180-873-8629,Street N,Japan
Bob,4342,47,Alice Lee,681-234-2522,Street G,USA
Grace,2089,27,Eva Smith,932-921-8672,Street E,Germany
Grace,3513,19,Eva Patel,199-566-6085,Street D,USA
Frank,4109,10,Charlie Patel,800-759-8625,Street F,France
Ivy,4282,13,Alice Johnson,581-337-4666,Street G,Australia
Helen,2808,22,Grace Patel,247-981-5227,Street I,Germany
Grace,3628,15,Helen Lee,472-501-4004,Street O,Canada
Alice,4619,25,Ivy Johnson,816-781-6412,Street N,France
David,4820,37,Ivy Patel,907-981-6320,Street I,Germany
Grace,3929,16,David Brown,564-599-1495,Street S,Germany
Grace,1827,32,Bob Smith,166-586-2849,Street B,Japan
Jack,2135,36,Helen Lee,459-590-8556,Street P,Australia
Alice,1633,42,Bob Lee,966-274-5624,Street R,USA
Jack,2548,44,Charlie Lee,886-456-3087,Street L,France
Grace,927,22,Bob Brown,620-205-7646,Street W,Japan
Helen,4436,17,Alice Patel,937-831-2752,Street D,Germany
Alice,3540,49,Alice Smith,433-669-2162,Street K,USA
Frank,1340,32,David Smith,911-409-9728,Street R,Germany
Eva,4726,47,Charlie Brown,572-510-7773,Street N,India
Grace,1521,42,David Johnson,344-735-4992,Street P,Canada
Grace,2835,48,Grace Patel,661-262-8903,Street V,France
Ivy,1187,32,Frank Lee,493-167-6582,Street H,Japan
Ivy,1813,30,Bob Johnson,313-933-8063,Street I,UK
Jack,2734,11,Jack Brown,903-545-6606,Street Z,Germany
David,4180,47,Jack Patel,657-810-4869,Street E,UK
Helen,4705,23,Eva Patel,277-778-2276,Street L,Canada
David,1707,11,Bob Patel,857-828-8972,Street P,UK
Eva,4083,9,Alice Johnson,217-706-8584,Street W,Canada
Grace,1251,47,Bob Johnson,433-668-2599,Street L,UK
Helen,2318,35,David Brown,941-555-3886,Street J,France
Alice,4195,32,Helen Lee,415-515-2140,Street A,Germany
Grace,3363,12,Charlie Johnson,712-211-7208,Street U,France
Frank,718,35,Bob Smith,435-606-2007,Street T,Germany
Grace,3898,42,Frank Johnson,192-322-3276,Street B,USA
Charlie,936,4,Bob Johnson,694-873-1003,Street X,France
Helen,3747,34,Alice Patel,875-250-3444,Street V,Japan
Charlie,4612,3,Helen Smith,563-644-5775,Street Z,USA
Jack,3563,5,Alice Lee,499-730-8326,Street B,India
Ivy,2431,43,Charlie Smith,300-310-6187,Street W,USA
Alice,3663,4,Jack Lee,406-683-5989,Street Z,Australia
Grace,1168,49,Grace Brown,545-835-6640,Street V,India
Jack,3571,1,Grace Patel,191-696-1133,Street H,India
Jack,2339,27,Helen Brown,726-622-7622,Street I,France
Alice,730,9,Alice Johnson,967-230-5819,Street R,Canada
Bob,3110,41,Grace Johnson,163-478-9992,Street M,Japan
Grace,1311,15,Grace Patel,154-100-6885,Street J,Japan
Charlie,3246,5,Charlie Brown,212-981-5623,Street U,Australia
Helen,1696,46,Frank Smith,986-131-4854,Street W,USA
Charlie,1627,10,David Brown,542-819-7459,Street L,Germany
Alice,813,1,Charlie Lee,740-425-7271,Street Z,USA
Eva,2850,14,Eva Johnson,515-490-8130,Street V,France
Grace,4370,33,Eva Smith,658-316-3841,Street D,India
Frank,1636,30,Helen Johnson,586-242-4083,Street R,Japan
David,4342,24,Charlie Brown,668-493-6902,Street H,Australia
Helen,4174,4,Alice Patel,960-527-3527,Street O,USA
Frank,543,40,Jack Smith,395-993-3056,Street M,India
Frank,1149,41,Jack Patel,237-111-2175,Street A,Germany
Grace,655,43,Jack Brown,763-116-3359,Street M,Australia
Eva,2596,40,David Lee,838-598-8155,Street I,Canada
Grace,2266,31,Eva Patel,239-186-3248,Street J,USA
Eva,1724,43,Helen Patel,757-925-7813,Street C,Germany
Bob,4995,32,Grace Brown,980-566-7974,Street Y,India
Helen,4823,2,Ivy Smith,738-284-8444,Street H,Canada
Alice,3967,1,Helen Brown,621-534-8373,Street J,Germany
Ivy,1410,35,Alice Patel,493-463-4698,Street G,Germany
Alice,2860,36,Bob Johnson,290-534-1121,Street F,UK
Frank,2446,27,Eva Johnson,691-610-4878,Street O,Australia
David,2967,1,Grace Patel,829-613-5411,Street U,France
Bob,1498,2,Charlie Smith,520-659-7012,Street K,Canada
Alice,891,34,Grace Patel,134-138-8917,Street Z,Canada
Alice,2453,47,David Johnson,821-477-2854,Street Y,USA
David,3939,18,Ivy Lee,694-593-2311,Street U,Japan
David,4244,35,David Patel,245-847-9624,Street N,India
Alice,1014,19,Ivy Patel,979-868-5578,Street Z,USA
Jack,1408,2,Alice Lee,576-629-2281,Street B,Australia
Charlie,4594,33,Grace Smith,635-724-2449,Street I,France
David,4891,45,Frank Brown,351-583-2279,Street C,Germany
Charlie,634,44,Helen Johnson,800-748-9834,Street Y,Canada
Helen,4721,28,Ivy Johnson,917-693-6119,Street P,Japan
Bob,2481,12,Helen Brown,727-154-6628,Street P,Germany
Jack,1676,7,Frank Brown,647-897-1176,Street X,Australia
David,2886,7,Jack Brown,580-564-9399,Street N,USA
Helen,4016,34,Ivy Brown,580-687-6431,Street K,Australia
Eva,512,10,Frank Johnson,531-461-5827,Street W,Germany
Frank,3390,16,Grace Patel,396-271-1578,Street N,Canada
Charlie,2470,13,Eva Patel,811-711-5981,Street D,Japan
Jack,3912,40,Charlie Lee,844-903-5267,Street F,Canada
Jack,2034,34,Alice Patel,162-744-8752,Street W,Japan
Bob,1201,17,Frank Smith,692-273-1845,Street I,Canada
Charlie,4788,23,Jack Smith,772-398-1447,Street Q,Canada
Eva,3454,18,David Brown,393-596-2351,Street C,USA
Bob,1054,26,Alice Lee,229-617-2259,Street L,USA
Jack,4809,6,Eva Johnson,971-902-5552,Street N,India
Alice,4957,24,Alice Patel,358-235-5603,Street T,Australia
Eva,4656,26,Helen Patel,381-978-5209,Street X,Canada
Jack,4658,30,Ivy Johnson,114-859-2827,Street R,UK
Grace,666,37,Frank Smith,718-278-3476,Street X,USA
Grace,3698,16,Jack Brown,774-557-7058,Street K,Japan
David,4351,45,David Lee,927-279-5280,Street O,USA
Bob,856,15,Charlie Smith,901-817-4869,Street W,France
Jack,3669,20,Bob Lee,596-285-9640,Street A,India
David,3558,44,David Brown,982-133-6617,Street Y,Canada
Bob,2577,6,David Patel,186-248-3525,Street B,Canada
Eva,633,42,Eva Brown,957-607-7765,Street U,USA
Jack,3425,42,Ivy Smith,888-492-4898,Street U,USA
Bob,1053,49,Alice Patel,776-550-3740,Street F,France
Jack,3324,3,David Brown,315-691-6653,Street U,India
Alice,2475,6,Jack Patel,155-757-5331,Street O,India
Frank,1349,26,Grace Patel,873-939-2900,Street Z,Canada
Ivy,3223,25,Frank Lee,153-271-8602,Street U,India
Grace,1592,25,Charlie Lee,508-587-5937,Street E,Germany
Frank,863,36,Charlie Smith,587-864-9724,Street A,USA
Bob,3386,31,David Brown,339-488-7390,Street M,Japan
Ivy,4972,4,Jack Johnson,585-368-3378,Street G,India
Frank,3273,41,Frank Brown,643-991-8122,Street U,Japan
Alice,1934,1,Frank Patel,112-395-8353,Street J,India
Grace,4306,45,Jack Smith,491-794-6172,Street K,Canada
Helen,4420,11,Alice Smith,642-799-1672,Street S,Australia
Bob,1993,6,Frank Johnson,199-644-6797,Street C,USA
Grace,1604,32,Jack Patel,964-542-5466,Street D,Japan
Frank,1016,28,Jack Patel,443-376-5375,Street F,Australia
Helen,4249,42,Charlie Smith,921-200-5183,Street H,Germany
Charlie,802,22,Jack Smith,770-698-7408,Street Q,Canada
Grace,2903,37,David Johnson,572-891-4961,Street W,Canada
Charlie,2151,7,Helen Johnson,851-788-4193,Street Y,USA
Ivy,858,34,Ivy Lee,632-445-3947,Street U,Canada
Eva,2134,3,Eva Smith,420-660-1173,Street Y,Germany
Jack,843,15,Charlie Johnson,788-108-2113,Street E,UK
Ivy,3085,14,Helen Patel,112-521-2600,Street T,France
Helen,3040,45,Alice Lee,637-206-8306,Street V,Australia
Helen,4722,37,Bob Smith,459-324-5641,Street N,India
Grace,3762,31,Alice Johnson,357-297-1557,Street Z,Japan
Jack,4948,18,David Smith,124-734-2506,Street K,Japan
Eva,4378,3,Jack Lee,158-708-4552,Street O,UK
Frank,2575,5,David Brown,713-753-2995,Street P,Germany
David,799,44,Alice Smith,825-222-2415,Street X,UK
Bob,2065,18,Ivy Smith,976-719-3128,Street E,USA
Eva,2843,35,Helen Smith,484-772-4027,Street I,USA
Helen,3424,37,Alice Smith,213-812-4018,Street F,UK
David,891,43,Frank Johnson,359-401-8650,Street V,France
Helen,3219,3,Jack Brown,776-177-8429,Street S,India
Jack,2738,12,David Patel,383-887-7995,Street K,Australia
Jack,1519,21,Charlie Smith,808-783-6298,Street Z,France
Grace,3514,2,Frank Patel,363-265-2212,Street J,UK
Frank,4079,14,Charlie Johnson,383-895-2022,Street G,UK
Alice,3776,38,Frank Brown,491-497-6450,Street C,Japan
Helen,4102,10,Alice Lee,161-364-5336,Street N,France
Frank,3667,49,Alice Lee,282-551-2137,Street L,Australia
Charlie,3277,46,Charlie Lee,603-305-7432,Street F,France
Helen,2030,26,Jack Lee,282-760-9061,Street M,Australia
David,4564,5,Charlie Lee,211-247-9857,Street M,USA
Frank,4575,20,Bob Brown,887-541-4578,Street S,UK
Eva,3509,11,Ivy Smith,728-758-2740,Street H,USA
Frank,4753,37,Frank Lee,552-832-5243,Street A,Germany
Eva,2684,16,Bob Smith,205-135-2194,Street A,USA
Jack,1176,37,Frank Patel,172-685-5105,Street R,India
Eva,3977,25,Grace Smith,895-556-1307,Street U,Australia
Ivy,1146,44,Jack Patel,609-252-1014,Street T,Germany
Alice,4027,35,Bob Smith,138-780-7397,Street U,Germany
Ivy,1978,22,Frank Patel,372-255-6403,Street H,Germany
David,4968,25,Eva Smith,500-688-1060,Street C,Canada
Bob,2906,49,Frank Smith,627-824-9039,Street O,Australia
David,3131,48,Charlie Brown,589-546-7617,Street G,Germany
Grace,1340,9,Charlie Patel,964-845-2148,Street I,Japan
Helen,1155,45,Grace Smith,653-331-1054,Street W,Japan
Ivy,3186,47,Helen Brown,493-805-8898,Street F,Australia
David,2921,6,Frank Brown,224-680-9770,Street B,Australia
Helen,3010,33,Charlie Patel,467-441-5961,Street M,France
Helen,4152,48,Ivy Smith,510-156-2485,Street T,India
Helen,3990,23,Jack Brown,474-647-6571,Street N,Australia
Alice,1865,4,Frank Lee,182-961-8530,Street T,UK
Bob,4136,7,David Lee,878-884-5750,Street I,Canada
Eva,3379,28,Jack Lee,763-307-3893,Street E,Japan
David,4162,15,Charlie Smith,667-140-7294,Street C,USA
Grace,846,5,Grace Lee,776-295-5896,Street L,Japan
David,3388,22,Eva Johnson,812-499-2749,Street F,Germany
Eva,4063,39,Eva Patel,745-805-6886,Street S,USA
Jack,2749,50,Charlie Johnson,598-186-8175,Street D,Germany
Frank,969,40,Charlie Johnson,852-294-3292,Street A,Germany
Helen,1114,39,Alice Lee,136-297-1415,Street W,Japan
Ivy,3827,26,Jack Patel,837-707-4907,Street Q,Germany
Ivy,3476,50,Grace Brown,600-498-2032,Street N,Germany
Frank,4703,21,Jack Johnson,911-653-6041,Street Y,Japan
Grace,1810,2,Alice Brown,611-646-8361,Street O,Australia
Ivy,755,41,Charlie Brown,116-137-6558,Street V,India
Frank,1669,18,Jack Smith,157-445-1701,Street P,Germany
Frank,4089,29,Frank Patel,515-221-4468,Street D,India
Helen,785,32,Jack Patel,926-769-9570,Street H,UK
Eva,1534,15,David Johnson,569-794-9791,Street W,USA
Eva,1050,23,Jack Smith,252-858-4817,Street G,Australia
Eva,2433,36,Bob Smith,173-137-3319,Street G,USA
David,3500,25,Helen Smith,600-769-1312,Street Z,Canada
Bob,3466,28,Charlie Patel,582-733-1750,Street I,Australia
David,3636,12,Frank Patel,348-818-3138,Street J,USA
Frank,765,44,Bob Lee,114-276-1818,Street X,Canada
Bob,1756,38,David Patel,414-940-2594,Street P,UK
Ivy,4185,43,Frank Patel,567-725-3796,Street M,France
Charlie,3538,25,Frank Smith,955-705-2047,Street E,Japan
David,3547,6,Charlie Brown,937-937-2742,Street N,Germany
David,4136,50,Bob Johnson,216-609-4613,Street G,Australia
Helen,1129,40,Frank Brown,164-923-4320,Street T,USA
Eva,1627,19,Helen Johnson,536-445-7586,Street G,USA
Jack,4837,16,Alice Lee,432-223-9943,Street J,Germany
Ivy,3506,46,Eva Patel,240-429-4493,Street X,Germany
Jack,3760,5,David Johnson,882-146-3841,Street V,France
Eva,3075,6,David Johnson,443-164-2978,Street G,UK
Bob,2783,18,Bob Johnson,380-244-7801,Street N,Germany
David,2544,10,Frank Johnson,272-813-7060,Street F,France
Eva,1429,25,Eva Patel,666-268-8187,Street N,UK
David,712,46,Bob Brown,349-695-1666,Street Z,Australia
Frank,2024,41,Alice Johnson,236-202-7162,Street E,Germany
Charlie,4588,10,Alice Smith,896-261-1256,Street A,UK
Eva,4741,48,Grace Johnson,598-182-1104,Street J,Germany
Alice,3670,25,Helen Patel,107-283-2460,Street I,USA
Ivy,1464,21,Grace Smith,823-767-5648,Street H,UK
Charlie,2644,24,Charlie Patel,526-810-8798,Street T,France
Eva,2632,7,Grace Lee,808-229-4377,Street O,Canada
Alice,4155,6,Helen Patel,246-755-5439,Street H,USA
Alice,2257,1,Grace Smith,635-561-7750,Street L,UK
Ivy,2839,20,Frank Brown,344-278-1616,Street S,India
Eva,4523,29,Ivy Smith,710-284-9190,Street V,Canada
Charlie,2139,24,Grace Brown,726-190-5934,Street U,Australia
Helen,1504,49,Bob Smith,456-528-1074,Street O,Germany
Bob,1611,18,Helen Johnson,671-341-4144,Street C,France
Alice,1106,7,Jack Patel,220-642-2567,Street A,Japan
Jack,4203,9,David Lee,733-470-9842,Street P,Germany
Eva,1914,6,Charlie Brown,619-324-8605,Street E,Australia
Helen,4146,12,Helen Brown,888-741-4409,Street K,Australia
Helen,1219,28,Bob Johnson,383-154-4173,Street W,UK
Helen,3118,29,Alice Johnson,215-915-3444,Street M,India
Frank,3346,36,Eva Smith,801-964-8772,Street V,Canada
Charlie,1031,36,Alice Brown,609-280-3617,Street G,Canada
Alice,4941,33,Frank Patel,786-144-1885,Street W,UK
Eva,2878,27,Eva Smith,760-472-5670,Street M,UK
Helen,2957,7,Bob Johnson,314-545-5118,Street W,Germany
Bob,1790,2,Bob Brown,442-731-8424,Street N,Germany
Bob,1926,6,Frank Lee,144-206-1859,Street X,India
Grace,3461,23,Charlie Lee,650-280-3589,Street T,Australia
Helen,4667,36,Grace Brown,904-129-8947,Street I,Australia
Bob,2336,6,Charlie Patel,627-218-2160,Street C,India
Jack,1494,39,Bob Brown,340-838-8287,Street D,Germany
Alice,2146,39,Ivy Patel,706-693-6340,Street R,USA
Charlie,1637,21,Bob Johnson,529-303-6336,Street B,Germany
Charlie,2439,25,Frank Patel,335-897-2804,Street B,France
Jack,4547,1,Jack Patel,433-333-2606,Street K,UK
Eva,715,19,Jack Brown,342-855-7759,Street H,Australia
Bob,3456,27,Helen Brown,990-304-7152,Street P,Germany
David,3522,25,Alice Lee,325-175-8716,Street L,USA
Bob,4328,50,Grace Johnson,699-596-1890,Street T,France
Ivy,1563,6,Charlie Smith,546-248-4541,Street V,UK
Grace,1206,47,Jack Brown,724-565-3917,Street Z,Japan
Jack,1038,36,Grace Johnson,496-482-3234,Street T,Germany
Jack,3033,16,Charlie Johnson,568-837-4181,Street W,Canada
Jack,3761,37,Alice Lee,747-467-5418,Street X,Japan
David,4421,34,Bob Brown,307-443-3084,Street Z,Canada
Ivy,4806,11,Frank Brown,132-808-1977,Street B,UK
Grace,3865,44,David Johnson,387-239-2820,Street A,India
Helen,3854,25,David Brown,972-576-8513,Street I,Australia
Helen,1104,11,Grace Lee,528-275-6629,Street Q,Japan
Eva,1526,9,Ivy Lee,325-402-3568,Street T,Japan
Jack,3097,18,Ivy Lee,908-913-3784,Street M,UK
Grace,1107,20,Eva Brown,691-666-4763,Street J,Australia
Eva,4186,18,Eva Brown,188-521-9548,Street M,Australia
Jack,4316,32,Eva Lee,600-982-4546,Street V,Japan
Jack,4738,10,David Patel,705-584-8581,Street L,Japan
Alice,3322,5,Bob Smith,385-114-8014,Street E,Japan
Jack,1551,11,Alice Johnson,853-993-5041,Street R,France
Bob,1990,28,Grace Patel,353-435-8114,Street B,India
David,1557,18,Jack Smith,693-327-3440,Street S,USA
David,4044,27,Ivy Brown,687-105-7844,Street F,Germany
Eva,4619,20,Helen Johnson,145-141-8711,Street I,Germany
Bob,953,31,Charlie Patel,851-887-9261,Street F,Germany
Charlie,1517,5,Alice Johnson,134-535-9701,Street Q,Japan
David,4744,24,Frank Brown,503-590-2605,Street P,Germany
Charlie,1753,17,Alice Smith,563-607-4940,Street K,India
Ivy,2991,16,Grace Smith,185-671-1203,Street O,Germany
Bob,1848,47,Bob Smith,809-849-7662,Street E,France
Charlie,1826,41,Eva Patel,323-235-6872,Street C,India
Alice,3143,32,Jack Smith,402-344-2486,Street K,India
Grace,2347,39,Helen Patel,116-591-5994,Street W,UK
Helen,3334,40,David Patel,265-820-8524,Street Q,Australia
Jack,4750,13,Bob Lee,978-684-1399,Street N,France
Helen,2826,30,Alice Patel,565-574-3271,Street E,Canada
Eva,1146,7,David Johnson,995-820-7641,Street I,UK
Alice,2552,9,Charlie Smith,289-908-7068,Street D,Canada
David,2108,20,Eva Patel,741-575-1022,Street K,France
Eva,2748,1,Bob Brown,981-742-2158,Street B,Japan
Eva,1525,26,Helen Patel,494-807-6454,Street E,Australia
Helen,2980,22,Bob Patel,643-133-5859,Street P,Germany
Bob,4870,40,Eva Lee,536-870-5420,Street I,USA
David,1265,25,Grace Johnson,814-727-9887,Street X,Japan
Eva,4617,22,Helen Brown,689-913-4393,Street L,Australia
Jack,1881,29,Helen Lee,906-801-2326,Street N,India
David,1763,22,Eva Johnson,735-443-1898,Street J,Japan
Grace,1902,28,Bob Patel,627-790-6963,Street I,Japan
Bob,3265,42,Ivy Brown,152-213-7274,Street T,India
Ivy,837,39,Grace Johnson,474-576-1669,Street Y,India
David,732,9,Charlie Lee,474-475-3871,Street I,Australia
Charlie,1165,20,Frank Patel,763-672-2097,Street Q,Japan
Eva,872,21,Grace Patel,674-826-4354,Street K,Australia
Charlie,2668,39,Frank Smith,241-442-4909,Street N,France
Bob,2226,45,Charlie Lee,652-216-8839,Street F,India
Alice,3912,13,Helen Brown,855-870-4437,Street K,USA
Charlie,748,31,Alice Patel,871-862-4693,Street X,UK
Eva,4579,21,Eva Smith,428-461-5380,Street P,Japan
Jack,4969,12,Helen Johnson,615-796-7929,Street Y,Germany
Jack,2872,26,Helen Patel,383-155-2038,Street E,France
Eva,2974,21,Eva Johnson,481-453-8412,Street R,Canada
Helen,4456,19,David Patel,597-613-9629,Street V,Australia
Bob,2506,48,Eva Johnson,949-225-8703,Street U,Canada
Helen,3826,45,Jack Lee,826-644-9730,Street Z,France
Eva,2936,41,Alice Johnson,399-562-7031,Street O,Canada
Grace,4215,32,Charlie Johnson,919-789-2075,Street B,France
Eva,1097,37,Bob Patel,292-568-2430,Street G,Germany
Ivy,990,16,Bob Patel,182-500-3929,Street E,Canada
Ivy,1794,21,Frank Johnson,395-178-2791,Street B,Canada
Helen,4101,25,Ivy Lee,268-382-2835,Street H,Canada
Helen,3904,18,Grace Brown,813-251-9131,Street F,Australia
Bob,4466,26,Jack Smith,254-995-4346,Street B,USA
Jack,4304,24,David Johnson,633-742-1371,Street P,Germany
Alice,2171,8,Ivy Lee,400-526-9870,Street I,Australia
Grace,3286,37,Alice Johnson,235-585-6680,Street F,Germany
Frank,1676,13,Grace Smith,530-554-1351,Street W,Australia
Jack,3060,38,Ivy Brown,398-293-2031,Street O,France
Eva,3115,35,Grace Brown,122-992-4806,Street N,France
Alice,3329,12,Ivy Johnson,954-632-6503,Street D,France
Bob,3766,44,Helen Smith,521-692-6616,Street P,Germany
David,1571,50,Jack Johnson,771-761-6346,Street B,UK
Jack,3535,36,David Patel,597-707-9686,Street O,France
Jack,4718,2,Helen Brown,962-661-8295,Street L,USA
Alice,1369,47,Eva Lee,568-411-3161,Street W,France
Eva,3114,30,Bob Lee,908-413-3813,Street R,France
Jack,2480,46,Grace Lee,908-366-4715,Street P,Australia
Alice,4321,14,Alice Smith,595-480-5720,Street O,India
Charlie,1503,29,Ivy Smith,888-965-1775,Street P,India
Helen,2691,19,Jack Brown,251-461-5659,Street D,USA
Ivy,4183,45,Ivy Smith,566-270-3634,Street X,Japan
Helen,2530,5,Jack Patel,828-648-5673,Street E,UK
